         352011 function calls (346452 primitive calls) in 9.502 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    9.508    9.508 C:/Data/Nano/projects/01_repositories/CarND-Advanced-Lane-Lines/Master.py:54(main)
        1    0.062    0.062    9.507    9.507 C:/Data/Nano/projects/01_repositories/CarND-Advanced-Lane-Lines/Master.py:28(test_images)
        8    0.371    0.046    9.170    1.146 C:\Data\Nano\projects\01_repositories\CarND-Advanced-Lane-Lines\test_images.py:149(pipeline)
        8    0.008    0.001    4.510    0.564 C:\Data\Nano\projects\01_repositories\CarND-Advanced-Lane-Lines\line.py:203(_fit_polynomial)
        8    0.055    0.007    4.457    0.557 C:\Data\Nano\projects\01_repositories\CarND-Advanced-Lane-Lines\line.py:72(_find_lane_pixels)
      232    0.002    0.000    4.205    0.018 C:\Program Files\Python37\lib\site-packages\matplotlib\__init__.py:1732(inner)
       72    0.001    0.000    3.785    0.053 C:\Program Files\Python37\lib\site-packages\matplotlib\pyplot.py:2689(imshow)
       72    0.002    0.000    3.740    0.052 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_axes.py:5315(imshow)
       72    0.006    0.000    3.007    0.042 C:\Program Files\Python37\lib\site-packages\matplotlib\image.py:620(set_data)
       72    0.001    0.000    2.331    0.032 C:\Program Files\Python37\lib\site-packages\matplotlib\cbook\__init__.py:783(safe_masked_invalid)
       72    2.050    0.028    2.055    0.029 C:\Program Files\Python37\lib\site-packages\numpy\ma\core.py:2331(masked_invalid)
        8    0.050    0.006    1.642    0.205 C:\Data\Nano\projects\01_repositories\CarND-Advanced-Lane-Lines\line.py:363(project)
     7174    1.530    0.000    1.530    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        8    0.630    0.079    1.284    0.161 C:\Data\Nano\projects\01_repositories\CarND-Advanced-Lane-Lines\sobel.py:70(dir_threshold)
      160    0.773    0.005    0.773    0.005 {method 'nonzero' of 'numpy.ndarray' objects}
