         10032344 function calls (9987505 primitive calls) in 593.601 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  593.604  593.604 C:/Data/Nano/projects/01_repositories/CarND-Advanced-Lane-Lines/Master.py:54(main)
        1    0.000    0.000  593.603  593.603 C:\Data\Nano\projects\01_repositories\CarND-Advanced-Lane-Lines\test_videos.py:96(test_video)
        1    0.000    0.000  592.678  592.678 <decorator-gen-51>:1(write_videofile)
      2/1    0.000    0.000  592.678  592.678 C:\Program Files\Python37\lib\site-packages\moviepy\decorators.py:47(requires_duration)
        1    0.000    0.000  592.678  592.678 <decorator-gen-50>:1(write_videofile)
      2/1    0.000    0.000  592.678  592.678 C:\Program Files\Python37\lib\site-packages\moviepy\decorators.py:108(use_clip_fps_by_default)
        1    0.000    0.000  592.678  592.678 <decorator-gen-49>:1(write_videofile)
        1    0.000    0.000  592.678  592.678 C:\Program Files\Python37\lib\site-packages\moviepy\decorators.py:17(convert_masks_to_RGB)
        1    0.001    0.001  592.678  592.678 C:\Program Files\Python37\lib\site-packages\moviepy\video\VideoClip.py:132(write_videofile)
        1    0.881    0.881  592.677  592.677 C:\Program Files\Python37\lib\site-packages\moviepy\video\io\ffmpeg_writer.py:197(ffmpeg_write_video)
2522/1261    0.011    0.000  585.215    0.464 <decorator-gen-10>:1(get_frame)
2522/1261    0.027    0.000  585.210    0.464 C:\Program Files\Python37\lib\site-packages\moviepy\decorators.py:78(wrapper)
2522/1261    0.009    0.000  585.172    0.464 C:\Program Files\Python37\lib\site-packages\moviepy\Clip.py:78(get_frame)
     1261    0.005    0.000  585.168    0.464 C:\Program Files\Python37\lib\site-packages\moviepy\Clip.py:137(<lambda>)
     1261    0.011    0.000  585.163    0.464 C:\Program Files\Python37\lib\site-packages\moviepy\video\VideoClip.py:514(<lambda>)
     1261    0.040    0.000  584.965    0.464 C:\Program Files\Python37\lib\site-packages\tqdm\_tqdm.py:949(__iter__)
     1261    0.028    0.000  584.759    0.464 C:\Program Files\Python37\lib\site-packages\moviepy\Clip.py:473(generator)
     1261    6.287    0.005  573.235    0.455 C:\Data\Nano\projects\01_repositories\CarND-Advanced-Lane-Lines\test_videos.py:89(image_wrapper)
     1261   42.405    0.034  550.563    0.437 C:\Data\Nano\projects\01_repositories\CarND-Advanced-Lane-Lines\test_images.py:149(pipeline)
     1261    5.137    0.004  175.840    0.139 C:\Data\Nano\projects\01_repositories\CarND-Advanced-Lane-Lines\line.py:364(project)
     1261   72.109    0.057  148.377    0.118 C:\Data\Nano\projects\01_repositories\CarND-Advanced-Lane-Lines\sobel.py:70(dir_threshold)
    25220   90.319    0.004   90.319    0.004 {method 'nonzero' of 'numpy.ndarray' objects}
     3783   83.595    0.022   83.595    0.022 {Sobel}
