         10032344 function calls (9987505 primitive calls) in 661.169 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  661.172  661.172 C:/Data/Nano/projects/01_repositories/CarND-Advanced-Lane-Lines/Master.py:54(main)
        1    0.000    0.000  661.171  661.171 C:\Data\Nano\projects\01_repositories\CarND-Advanced-Lane-Lines\test_videos.py:96(test_video)
        1    0.000    0.000  660.071  660.071 <decorator-gen-51>:1(write_videofile)
      2/1    0.000    0.000  660.071  660.071 C:\Program Files\Python37\lib\site-packages\moviepy\decorators.py:47(requires_duration)
        1    0.000    0.000  660.071  660.071 <decorator-gen-50>:1(write_videofile)
      2/1    0.000    0.000  660.071  660.071 C:\Program Files\Python37\lib\site-packages\moviepy\decorators.py:108(use_clip_fps_by_default)
        1    0.000    0.000  660.071  660.071 <decorator-gen-49>:1(write_videofile)
        1    0.000    0.000  660.071  660.071 C:\Program Files\Python37\lib\site-packages\moviepy\decorators.py:17(convert_masks_to_RGB)
        1    0.001    0.001  660.071  660.071 C:\Program Files\Python37\lib\site-packages\moviepy\video\VideoClip.py:132(write_videofile)
        1    0.904    0.904  660.070  660.070 C:\Program Files\Python37\lib\site-packages\moviepy\video\io\ffmpeg_writer.py:197(ffmpeg_write_video)
2522/1261    0.012    0.000  651.615    0.517 <decorator-gen-10>:1(get_frame)
2522/1261    0.028    0.000  651.609    0.517 C:\Program Files\Python37\lib\site-packages\moviepy\decorators.py:78(wrapper)
2522/1261    0.009    0.000  651.563    0.517 C:\Program Files\Python37\lib\site-packages\moviepy\Clip.py:78(get_frame)
     1261    0.014    0.000  651.559    0.517 C:\Program Files\Python37\lib\site-packages\moviepy\Clip.py:137(<lambda>)
     1261    0.009    0.000  651.545    0.517 C:\Program Files\Python37\lib\site-packages\moviepy\video\VideoClip.py:514(<lambda>)
     1261    0.048    0.000  651.300    0.516 C:\Program Files\Python37\lib\site-packages\tqdm\_tqdm.py:949(__iter__)
     1261    0.030    0.000  651.048    0.516 C:\Program Files\Python37\lib\site-packages\moviepy\Clip.py:473(generator)
     1261    6.480    0.005  637.353    0.505 C:\Data\Nano\projects\01_repositories\CarND-Advanced-Lane-Lines\test_videos.py:89(image_wrapper)
     1261   45.430    0.036  613.166    0.486 C:\Data\Nano\projects\01_repositories\CarND-Advanced-Lane-Lines\test_images.py:149(pipeline)
     1261    5.472    0.004  197.501    0.157 C:\Data\Nano\projects\01_repositories\CarND-Advanced-Lane-Lines\line.py:364(project)
     1261   81.542    0.065  166.779    0.132 C:\Data\Nano\projects\01_repositories\CarND-Advanced-Lane-Lines\sobel.py:70(dir_threshold)
